Acid_Halide,Alcohol,Ester,Halide_energy,Alcohol_energy,Ester_energy,Energy_difference,HX_energy
Cc1nc(C(=O)Cl)no1,C#CC1(CO)CC1,C#CC1(COC(=O)c2noc(C)n2)CC1,-777.858189036994,-568.359877975389,-1209.3765590356,-0.652608402794016,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC(C)SCO,Cc1nc(C(=O)OCSC(C)C)no1,-777.858165974191,-570.424559427643,-1211.44675746915,-0.658148446892085,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC=C(C=O)CO,CC=C(C=O)COC(=O)c1noc(C)n1,-777.859728955207,-622.015310244787,-1263.0909886029,-0.710065782485998,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC(=CC#N)CO,C=CC(=CC#N)COC(=O)c1noc(C)n1,-777.857617893077,-634.010651102179,-1275.05856399087,-0.684411375191843,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC(CC)CO,C=CC(CC)COC(=O)c1noc(C)n1,-777.85860358478,-625.750333453368,-1266.74107024848,-0.626249589905314,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC[C@H]1CO1,Cc1nc(C(=O)OC[C@H]2CO2)no1,-777.857485248745,-478.173819466817,-1119.18396327759,-0.64677494160938,-137.494116379578
Cc1nc(C(=O)Cl)no1,CCOCCO,CCOCCOC(=O)c1noc(C)n1,-777.858880978652,-592.450752196178,-1233.63850440202,-0.82298760676278,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC=C=CCO,C=CC=C=CCOC(=O)c1noc(C)n1,-777.858018008426,-568.072631597504,-1209.23095103893,-0.794417812575347,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCn1cncn1,Cc1nc(C(=O)OCn2cncn2)no1,-777.858945165009,-593.12960567235,-1234.0146603231,-0.520225865315837,-137.494116379578
Cc1nc(C(=O)Cl)no1,CCCCCO,CCCCCOC(=O)c1noc(C)n1,-777.859814527193,-568.349166254513,-1209.43721766185,-0.722353259721416,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC=C[C@@H](C)CO,CC=C[C@@H](C)COC(=O)c1noc(C)n1,-777.858315417833,-625.800662580965,-1266.78582326253,-0.620961643309983,-137.494116379578
Cc1nc(C(=O)Cl)no1,CCC#CCCO,CCC#CCCOC(=O)c1noc(C)n1,-777.858653228712,-597.08676260351,-1238.14384894417,-0.692549491529121,-137.494116379578
Cc1nc(C(=O)Cl)no1,CS[C@@H](C)CO,CS[C@@H](C)COC(=O)c1noc(C)n1,-777.859799841119,-570.259114221534,-1211.43835829147,-0.813560608389679,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC=C1CC1CO,CC=C1CC1COC(=O)c1noc(C)n1,-777.857618936171,-597.107504644128,-1238.14534349826,-0.674336297540862,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C1CC1CO,C=C1CC1COC(=O)c1noc(C)n1,-777.859801803034,-510.854716129232,-1151.91678569092,-0.696384138230087,-137.494116379578
Cc1nc(C(=O)Cl)no1,N#CCC=CCO,Cc1nc(C(=O)OCC=CCC#N)no1,-777.85808430685,-576.3522815923,-1217.39013516184,-0.67388564226971,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCCC[C@H]1CO1,Cc1nc(C(=O)OCCC[C@H]2CO2)no1,-777.860107707812,-650.437004665314,-1291.48178605244,-0.678790058890144,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C1C[C@H]1CO,C=C1C[C@H]1COC(=O)c1noc(C)n1,-777.857459344527,-510.84718156265,-1151.90759331943,-0.697068791831981,-137.494116379578
Cc1nc(C(=O)Cl)no1,CN(Cl)CCO,Cc1nc(C(=O)OCCN(C)Cl)no1,-777.857773975131,-598.634279818448,-1239.82666260552,-0.828725191522466,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC(F)CO,C=CC(F)COC(=O)c1noc(C)n1,-777.858274802888,-568.401907792825,-1209.24994010226,-0.483873886121387,-137.494116379578
Cc1nc(C(=O)Cl)no1,NN1CC(CO)C1,Cc1nc(C(=O)OCC2CN(N)C2)no1,-777.85855003525,-639.814133943859,-1280.75492382407,-0.576356224536056,-137.494116379578
Cc1nc(C(=O)Cl)no1,CCC=C(C)CO,CCC=C(C)COC(=O)c1noc(C)n1,-777.859079002479,-625.899879613365,-1266.99925427023,-0.734412033964503,-137.494116379578
Cc1nc(C(=O)Cl)no1,CCC(C)CO,CCC(C)COC(=O)c1noc(C)n1,-777.859470699166,-568.384147602833,-1209.46789959386,-0.718397671440215,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCn1ccnn1,Cc1nc(C(=O)OCn2ccnn2)no1,-777.860097352542,-592.416456667469,-1233.30613609306,-0.523698452625325,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC(F)CCCO,Cc1nc(C(=O)OCCCC(C)F)no1,-777.860126165141,-683.356102755827,-1324.42629174128,-0.704179199888642,-137.494116379578
Cc1nc(C(=O)Cl)no1,C#C[C@@H](CC)CO,C#C[C@@H](CC)COC(=O)c1noc(C)n1,-777.858995818239,-596.741296888856,-1237.9175063467,-0.811330019182236,-137.494116379578
Cc1nc(C(=O)Cl)no1,C[C@H]1CC1=CCO,Cc1nc(C(=O)OCC=C2C[C@@H]2C)no1,-777.858953739212,-596.993993700356,-1238.13106822624,-0.772237166245077,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC(=O)CO,C=CC(=O)COC(=O)c1noc(C)n1,-777.859019150191,-535.863889607621,-1176.7107339258,-0.48194154756149,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC#CC(C)CO,CC#CC(C)COC(=O)c1noc(C)n1,-777.8575765299,-597.120237836351,-1238.20656673759,-0.722868750912966,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCC=CB(O)O,Cc1nc(C(=O)OCC=CB(O)O)no1,-777.858304519069,-638.567932148701,-1279.5916461044,-0.65952581620752,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C(CCO)OC,C=C(CCOC(=O)c1noc(C)n1)OC,-777.858314953689,-650.345209482562,-1291.36095075967,-0.651542702992373,-137.494116379578
Cc1nc(C(=O)Cl)no1,C[C@H]1C[C@@H](CO)C1,Cc1nc(C(=O)OC[C@H]2C[C@@H](C)C2)no1,-777.858927509845,-626.294144297833,-1267.42721477702,-0.768259348917809,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C(CO)CCC,C=C(CCC)COC(=O)c1noc(C)n1,-777.8596494269,-625.747711252047,-1266.86188177952,-0.748637480151729,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC=C=NCCO,CC=C=NCCOC(=O)c1noc(C)n1,-777.858428956443,-604.540153362238,-1245.72226965667,-0.817803717564374,-137.494116379578
Cc1nc(C(=O)Cl)no1,C[C@H](C=O)CO,Cc1nc(C(=O)OC[C@H](C)C=O)no1,-777.859209466171,-564.453093463121,-1205.44942707741,-0.631240527699958,-137.494116379578
Cc1nc(C(=O)Cl)no1,N#CC(Cl)CO,Cc1nc(C(=O)OCC(Cl)C#N)no1,-777.857928109229,-542.685972688454,-1183.67924170832,-0.629457290218483,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCc1cnoc1,Cc1nc(C(=O)OCc2cnoc2)no1,-777.858383583749,-601.596432672564,-1242.58872578043,-0.62802590369094,-137.494116379578
Cc1nc(C(=O)Cl)no1,C#CC[C@@H](C)CO,C#CC[C@@H](C)COC(=O)c1noc(C)n1,-777.859269196552,-596.886244326503,-1237.96574532263,-0.714348179152097,-137.494116379578
